MCDONALDS CORP;USD;US5801351017;580135101;2550707;MCD US
MARCUS CORP.;USD;US5663301068;566330106;2564827;MCS US
M.D.C. HOLDINGS INC.;USD;US5526761086;552676108;2561204;MDC US
M.D.C. HOLDINGS INC.;USD;US5526761086;552676108;2561204;MDC US
MEREDITH CORP.;USD;US5894331017;589433101;2578516;MDP US
MERLIN ENTERTAINMENT GROUP PLC;GBP;GB00BDZT6P94;BRSL3Q1E2;BDZT6P9;MERL LN
MATTRESS FIRM HOLDING CORP.;USD;US57722W1062;57722W106;B6ZW530;MFRM US
MAGNA INTERNATIONAL INC.;CAD;CA5592224011;S25544750;2554475;MG CN
MAGNA INTERNATIONAL INC.;USD;CA5592224011;559222401;2554549;MGA US
